Month,Sales_volume,Revenue,Cost,Promotion_expense,Profit,Version,Unit_price,Unit_cost,ROI,Profit_rate,Target,Time_to_peak,Total_sales
10,6470.0,662838.43,278073.88,99425.7645,285338.7855,3,102.447979907264,42.9789613601236,0.755865044264962,0.430480148080732,11503.0,6,612542.0
11,11503.0,1268451.0991,532381.26,190267.664865,545802.174235,3,110.271329140224,46.2819490567678,0.75527985368132,0.430290276560335,5026.0,6,612542.0
12,5026.0,578146.374,235214.23,86721.9561,256210.1879,3,115.031113012336,46.7994886589733,0.79584153308077,0.443157994968243,7175.0,6,612542.0
1,7175.0,721090.72,328578.17,108163.608,284348.942,3,100.500448780488,45.7948668989547,0.651068792415824,0.394331717373925,4118.0,6,612542.0
2,4118.0,404955.782,193252.64,60743.3673,150959.7747,3,98.3379752306945,46.9287615347256,0.59433916424402,0.372780884753486,5343.0,6,612542.0
3,5343.0,581536.63,249002.24,87230.4945,245303.8955,3,108.840844095078,46.6034512446191,0.729565774923084,0.421820196433714,8403.0,6,612542.0
4,8403.0,907668.449,424375.93,136150.26735,347142.25165,4,108.017190170177,50.5029072950137,0.619314946011774,0.382454906339925,6547.0,2,238633.2
4,0.0,0.0,0.0,0.0,0.0,4,100.289376654034,45.8475123175095,0.64797361576323,0.387283653581303,6547.0,2,238633.2
5,6547.0,714193.633,308424.64,107129.04495,298639.94805,4,109.087159462349,47.1093080800367,0.718655516400806,0.418149832553884,18785.0,2,238633.2
6,18785.0,1817266.045,890145.640000001,272589.90675,654530.498249999,4,96.740273888741,47.3859803034336,0.562922927814066,0.360173184356173,17396.0,2,238633.2
7,17396.0,1569434.3145,840134.13,235415.147175,493885.037325,4,90.2181141929179,48.2946729133134,0.459193314342808,0.314689842551547,21540.0,2,238633.2
8,21540.0,1926232.179,1021780.67,288934.82685,615516.682149999,4,89.4258207520891,47.4364285051068,0.469603574253337,0.31954438767062,11240.0,2,238633.2
